Combined_Key,Last_Update,Confirmed,Deaths
"Tarapaca, Chile",2022-04-21 04:20:46,79393,1086
"Unknown, Chile",2022-04-21 04:20:46,43,2
"Valparaiso, Chile",2022-04-21 04:20:46,304495,5553
"Anhui, China",2022-04-21 04:20:46,1060,6
"Beijing, China",2022-04-21 04:20:46,1845,9
"Chongqing, China",2022-04-21 04:20:46,694,6
"Fujian, China",2022-04-21 04:20:46,2990,1
"Gansu, China",2022-04-21 04:20:46,681,2
"Guangdong, China",2022-04-21 04:20:46,6955,8
"Guangxi, China",2022-04-21 04:20:46,1566,2
"Guizhou, China",2022-04-21 04:20:46,179,2
"Hainan, China",2022-04-21 04:20:46,285,6
"Hebei, China",2022-04-21 04:20:46,1987,7
"Heilongjiang, China",2022-04-21 04:20:46,2760,13
"Henan, China",2022-04-21 04:20:46,2863,22
"Hong Kong, China",2022-04-21 04:20:46,1199706,9186
"Hubei, China",2022-04-21 04:20:46,68396,4512
"Hunan, China",2022-04-21 04:20:46,1346,4
"Inner Mongolia, China",2022-04-21 04:20:46,1694,1
"Jiangsu, China",2022-04-21 04:20:46,2156,0
"Jiangxi, China",2022-04-21 04:20:46,1129,1
"Jilin, China",2022-04-21 04:20:46,39644,5
"Liaoning, China",2022-04-21 04:20:46,1613,2
"Macau, China",2022-04-21 04:20:46,82,0
"Ningxia, China",2022-04-21 04:20:46,122,0
"Qinghai, China",2022-04-21 04:20:46,75,0
"Shaanxi, China",2022-04-21 04:20:46,3273,3
"Shandong, China",2022-04-21 04:20:46,2671,7
"Shanghai, China",2022-04-21 04:20:46,35079,24
"Shanxi, China",2022-04-21 04:20:46,408,0
"Sichuan, China",2022-04-21 04:20:46,1995,3
"Tianjin, China",2022-04-21 04:20:46,1800,3
"Tibet, China",2022-04-21 04:20:46,1,0
"Unknown, China",2022-04-21 04:20:46,501847,0
"Xinjiang, China",2022-04-21 04:20:46,999,3
"Yunnan, China",2022-04-21 04:20:46,2105,2
